epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5897.6,0.8517,0.71183,1.16132,0.73437,0.70661,0.68948,0.51887,1.29516,1.09303,1.38963,0.0222559,0.00741863,0.0222559,0.00741863,0.0222559,0.00741863,0.0222559,0.00741863
31,6087.08,0.85676,0.71136,1.15752,0.73765,0.73928,0.71336,0.52277,1.34266,1.02418,1.43183,0.0217692,0.0072564,0.0217692,0.0072564,0.0217692,0.0072564,0.0217692,0.0072564
32,6276.08,0.84239,0.70692,1.15653,0.74544,0.67458,0.67561,0.51188,1.30203,1.14948,1.40466,0.0212735,0.00709116,0.0212735,0.00709116,0.0212735,0.00709116,0.0212735,0.00709116
33,6465.72,0.84463,0.69129,1.14912,0.76371,0.68569,0.70213,0.52572,1.25441,1.10482,1.35974,0.0207694,0.00692313,0.0207694,0.00692313,0.0207694,0.00692313,0.0207694,0.00692313
34,6652.48,0.83291,0.68565,1.14436,0.76704,0.67478,0.68313,0.51757,1.32121,1.19765,1.41779,0.0202576,0.00675255,0.0202576,0.00675255,0.0202576,0.00675255,0.0202576,0.00675255
35,6828.78,0.8272,0.66951,1.14082,0.78514,0.67914,0.6885,0.52192,1.30079,1.04281,1.39725,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
36,7006.74,0.81092,0.66938,1.1334,0.8226,0.66771,0.6968,0.51737,1.29976,1.14699,1.38237,0.0192139,0.00640463,0.0192139,0.00640463,0.0192139,0.00640463,0.0192139,0.00640463
37,7184.29,0.8111,0.66248,1.13282,0.74405,0.71761,0.69668,0.53213,1.2675,1.06693,1.36919,0.0186833,0.00622778,0.0186833,0.00622778,0.0186833,0.00622778,0.0186833,0.00622778
38,7362.89,0.8105,0.65701,1.12932,0.7368,0.69275,0.69141,0.52384,1.26775,1.13882,1.38212,0.018148,0.00604932,0.018148,0.00604932,0.018148,0.00604932,0.018148,0.00604932
39,7541.46,0.79356,0.64149,1.12217,0.75987,0.69377,0.69164,0.52268,1.31125,1.07391,1.41352,0.0176085,0.00586949,0.0176085,0.00586949,0.0176085,0.00586949,0.0176085,0.00586949
40,7721.57,0.79603,0.64154,1.12482,0.786,0.68352,0.68416,0.52492,1.27061,1.15317,1.40258,0.0170656,0.00568855,0.0170656,0.00568855,0.0170656,0.00568855,0.0170656,0.00568855
41,7902.7,0.77741,0.62597,1.11236,0.77911,0.70686,0.70984,0.5289,1.28892,1.13952,1.4226,0.0165202,0.00550673,0.0165202,0.00550673,0.0165202,0.00550673,0.0165202,0.00550673
